added_order	archive	source_rank	count	playlist_entry
59	vgmrips	22		vgmrips:/Systems/Sega/System%2016C/Fantasy%20Zone%20II%20DX%20-%203D%20Fantasy%20Zone%20II%20W/03%20Start%20~%20Cholacoray%20%5BRound%201%5D.vgz
60	vgmrips	23		vgmrips:/Systems/NEC/PC%20Engine/Magical%20Chase/04%20Rampish%20Chase%20%281ST%20STAGE%20-%20WALL%20TOWN%29.vgz
61	vgmrips	24		vgmrips:/Systems/Sega/Genesis/Streets%20of%20Rage%20%28W%29%20-%20Bare%20Knuckle%3A%20Ikari%20no%20Tekken%20%28J%29/03%20-%20Fighting%20in%20the%20Street.vgz
62	vgmrips	25		vgmrips:/Systems/Sega/Arcade/Super%20Hang-On/03%20Outride%20A%20Crisis.vgz
63	vgmrips	26		vgmrips:/Systems/Sega/Hang-On/Space%20Harrier/07%20Battle%20Field%20%28Bonus%20Stage%29.vgz
64	vgmrips	27		vgmrips:/Systems/Sega/Mega%20Drive/Gauntlet%20IV%20%28W%29%20-%20Gauntlet%20%28J%29/06%20-%20Back%20of%20Beyond.vgz
65	vgmrips	28		vgmrips:/Systems/Sharp/X68000/Dragon%20Spirit/04%20The%20Paleozoic%20Era%20%28Area%201%29.vgz
66	vgmrips	29		vgmrips:/Systems/Jaleco/Mega%20System%201/Soldam/04%20Morning%20Comes%20to%20the%20Forest%20of%20Fairies%20%5BSoldam%20Mode%201%5D.vgz
67	vgmrips	30		vgmrips:/Systems/Sega/Mega%20Drive/Midnight%20Resistance/01%20-%20Flood%20of%20Power%20%28BGM%201%29.vgz
68	vgmrips	31		vgmrips:/Systems/Taito/Arcade/The%20Ninja%20Warriors/05%20Daddy%20Mulk.vgz
69	vgmrips	32		vgmrips:/Systems/ASCII/MSX2/SD%20Snatcher/04%20Modern%20Crusade.vgz
70	vgmrips	33		vgmrips:/Systems/SNK/Neo%20Geo/Neo%20Turf%20Masters%20%28W%29%20-%20Big%20Tournament%20Golf%20%28J%29/09%20Fujiyama%20Oriental%20Golf%20Club%20-%20Japan.vgz
71	vgmrips	34		vgmrips:/Systems/ASCII/MSX/Nemesis%202%20%28E%29%20-%20Gradius%202%20%28J%29/01%20Above%20the%20Horizon%20%28Opening%20Theme%29.vgz
72	vgmrips	35		vgmrips:/Systems/Capcom/ZN-2/Street%20Fighter%20EX2%20Plus/09%20Lost%20Sea%20%28Pirate%20Ship%20Stage%29.vgz
73	vgmrips	36		vgmrips:/Systems/Sega/Mega%20Drive/The%20Hybrid%20Front/07%20-%20Earth%20~%20Sukarabe%20Fight%20BGM%202.vgz
74	vgmrips	37		vgmrips:/Systems/Sharp/X68000/Namachuukei%2068/06%20Pennant%20Race.vgz
75	vgmrips	38		vgmrips:/Systems/SNK/Neo%20Geo/Viewpoint/04%20Not%20All%20There%20Area%201.vgz
76	vgmrips	39		vgmrips:/Systems/Irem/M92/Undercover%20Cops%20%28J%29%20-%20Undercover%20Cops%20Alpha%3A%20Renewal%20Version%20%28W%29/05%20Northern%20Barramundi%20%28Stage%201%29.vgz
77	vgmrips	40		vgmrips:/Systems/Williams/Williams%20System%2011B/Black%20Knight%202000/04%20Main%20Theme.vgz
78	vgmrips	41		vgmrips:/Systems/NEC/PC-9801/Brandish%203%3A%20Spirit%20of%20Balcan/02%20Legend%20of%20the%20Lone%20Wolves.vgz
79	vgmrips	43		vgmrips:/Systems/Sega/Mega%20Drive/The%20Revenge%20of%20Shinobi%20%28W%29%20-%20The%20Super%20Shinobi%20%28J%29/06%20-%20Sunrise%20Blvd.vgz
80	bitmidi	1	254553	bitmidi:/Popular/Bohemian-Rhapsody-1.mid
81	bitmidi	2	202457	bitmidi:/Popular/Beethoven-Moonlight-Sonata.mid
82	bitmidi	4	166925	bitmidi:/Popular/Attack%20on%20Titan%20-%20Jiyuu%20no%20Tsubasa.mid
83	bitmidi	5	140501	bitmidi:/Popular/A-Whole-New-World-%28Theme-From-%27Aladdin%27%29.mid
84	bitmidi	6	101841	bitmidi:/Popular/Backstreet%20Boys%20-%20I%20Want%20It%20That%20Way.mid
85	bitmidi	8	83566	bitmidi:/Popular/ACDC.Thunderstruck%20K.mid
86	bitmidi	11	69578	bitmidi:/Popular/Bakemonogatari%20-%20Renai%20Circulation%20%28musicbox%20version%29.mid
87	bitmidi	12	53071	bitmidi:/Popular/Billy%20Joel%20-%20Piano%20Man.mid
88	bitmidi	13	52941	bitmidi:/Popular/Avicii%20-%20Levels.mid
89	bitmidi	14	52018	bitmidi:/Popular/BONEY%20M.Rasputin%20K.mid
90	bitmidi	15	45686	bitmidi:/Popular/A%20HA.Take%20on%20me%20%20K.mid
91	bitmidi	17	37708	bitmidi:/Popular/ACDC.Highway%20to%20Hell%20K.mid
92	bitmidi	20	33281	bitmidi:/Popular/Aqua%20-%20Barbie%20Girl.mid
93	bitmidi	21	31318	bitmidi:/Popular/avicii-wake_me_up.mid
94	bitmidi	22	31052	bitmidi:/Popular/Billie-Jean-1.mid
95	bitmidi	28	26412	bitmidi:/Popular/Axel-F-1.mid
96	bitmidi	30	25566	bitmidi:/Popular/Armin%20van%20Buuren%20%26%20Ferry%20Corsten%20-%20Brut.mid
97	bitmidi	32	25035	bitmidi:/Popular/BassHunter%20-%20Dota.mid
98	bitmidi	38	23575	bitmidi:/Popular/Bon%20Jovi%20-%20Living%20on%20a%20Prayer.mid
99	bitmidi	40	21654	bitmidi:/Popular/Age%20of%20Empires%20II%20The%20Age%20of%20Kings%20-%20Menu.mid
100	bitmidi	43	21179	bitmidi:/Popular/Advance%20Wars%20-%20Drakes%20Theme.mid
